"alternative.id","review_issue_id","nbr_comments","nbr_comments_nobot"
"10.21105/joss.02583","2583",76,49
"10.21105/joss.02013","2013",69,43
"10.21105/joss.03917","3917",59,38
"10.21105/joss.00050","50",42,37
"10.21105/joss.01420","1420",66,37
"10.21105/joss.00029","29",17,17
"10.21105/joss.02061","2061",53,36
"10.21105/joss.00085","85",16,12
"10.21105/joss.00194","194",7,5
"10.21105/joss.02891","2891",84,53
"10.21105/joss.05792","5792",74,51
"10.21105/joss.00161","161",62,49
"10.21105/joss.02331","2331",73,48
"10.21105/joss.01036","1036",44,24
"10.21105/joss.00634","634",36,24
"10.21105/joss.00698","698",76,45
"10.21105/joss.00878","878",26,18
"10.21105/joss.02125","2125",58,40
"10.21105/joss.01007","1007",71,50
"10.21105/joss.01444","1444",51,24
"10.21105/joss.02165","2165",99,70
"10.21105/joss.06079","6079",85,54
"10.21105/joss.06855","6855",36,18
"10.21105/joss.02404","2404",48,31
"10.21105/joss.00221","221",31,29
"10.21105/joss.02074","2074",68,48
"10.21105/joss.01474","1474",61,48
"10.21105/joss.03452","3452",52,30
"10.21105/joss.04568","4568",75,49
"10.21105/joss.03596","3596",83,49
"10.21105/joss.00650","650",20,15
"10.21105/joss.02444","2444",57,39
"10.21105/joss.02695","2695",84,61
"10.21105/joss.01066","1066",49,29
"10.21105/joss.02580","2580",59,39
"10.21105/joss.02483","2483",63,45
"10.21105/joss.01252","1252",62,45
"10.21105/joss.02425","2425",68,39
"10.21105/joss.02284","2284",70,45
"10.21105/joss.01587","1587",72,42
"10.21105/joss.03464","3464",67,47
"10.21105/joss.03679","3679",57,37
"10.21105/joss.02145","2145",56,33
"10.21105/joss.00436","436",51,36
"10.21105/joss.00333","333",14,12
"10.21105/joss.00151","151",25,23
"10.21105/joss.02621","2621",42,27
"10.21105/joss.01294","1294",87,65
"10.21105/joss.06060","6060",50,31
"10.21105/joss.00135","135",27,25
"10.21105/joss.00773","773",15,8
"10.21105/joss.00170","170",11,8
"10.21105/joss.00850","850",22,15
"10.21105/joss.00400","400",30,27
"10.21105/joss.04591","4591",57,35
"10.21105/joss.04840","4840",57,38
"10.21105/joss.01757","1757",55,38
"10.21105/joss.01843","1843",87,56
"10.21105/joss.03619","3619",94,66
"10.21105/joss.02157","2157",72,50
"10.21105/joss.01328","1328",77,58
"10.21105/joss.03071","3071",42,25
"10.21105/joss.00250","250",12,10
